player,country,age,attack,block,serve,set,dig,receive,position
Inoue,JPN,29,2.78,0.0,0.0,0.0,1.11,0.0,OH
Gałkowska,POL,28,2.75,1.25,0.25,0.0,2.25,0.0,OP
Butler,USA,25,2.75,2.25,0.25,0.0,0.5,0.0,MB
Güneş,TUR,25,2.67,2.67,0.0,0.0,0.33,0.17,MB
Kisy,BRA,24,2.6,1.0,0.0,0.0,1.6,0.0,OP
Aydın,TUR,24,2.57,0.57,0.0,0.0,1.71,2.71,OH
Eve,DOM,32,2.56,1.0,0.33,0.0,1.44,0.44,MB
Sylves,FRA,23,2.56,1.56,0.44,0.0,0.89,0.0,MB
Olinga Andela,FRA,27,2.56,1.44,0.22,0.0,0.44,0.0,MB
K. Ajcharaporn,THA,29,2.5,0.0,0.0,0.0,1.25,2.0,OH
Arıcı,TUR,29,2.5,1.62,0.38,0.0,1.12,0.25,MB
Baladın,TUR,26,2.43,0.14,0.14,0.0,1.57,3.29,OH
Fahr,ITA,22,2.4,1.2,0.2,0.0,0.4,0.0,MB
Cazaute,FRA,26,2.4,0.0,0.0,0.0,3.6,4.4,OH
Milenković,SRB,27,2.38,0.38,0.12,0.0,5.62,2.25,OH
Becheva,BUL,26,2.33,0.44,0.44,0.0,1.22,2.0,OH
Jiyun M.,KOR,24,2.33,0.22,0.33,0.0,1.78,0.0,OP
J. Sasipapron,THA,27,2.25,0.0,0.0,0.0,2.0,0.5,OH
Mirković,SRB,28,2.25,0.25,0.25,15.62,4.25,0.0,S
Brie,CAN,26,2.22,1.0,1.0,21.67,9.22,0.0,S
Lohuis,NED,27,2.11,1.22,0.67,0.0,0.89,0.11,MB
Bah,FRA,20,2.0,0.17,0.0,0.0,1.5,0.67,OH
Parsons,USA,29,2.0,0.25,0.75,0.0,3.5,1.0,OH
Diouf,FRA,22,2.0,0.5,0.0,0.0,0.5,0.0,OH
Elouga,FRA,24,2.0,0.5,0.25,0.0,0.5,0.0,MB
Wang Y.L.,CHN,28,2.0,0.25,0.12,0.0,2.12,2.0,OH
Johnson,CAN,26,1.89,0.78,0.44,0.0,3.11,0.56,OH
Witkowska,POL,32,1.75,0.75,0.0,0.0,1.75,0.0,MB
Wada,JPN,22,1.75,0.0,0.0,0.0,0.62,0.0,OH
B. Jarasporn,THA,31,1.75,0.5,0.0,0.0,0.75,0.0,MB
Centka,POL,23,1.75,0.0,0.25,0.0,0.25,0.0,MB
